action_taken,purchaser_type,loan_type,loan_purpose,lien_status,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,total_loan_costs,total_points_and_fees,origination_charges,discount_points,loan_term,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_race-1,co-applicant_race-1,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,aus-1,denial_reason-1,ltv_category,dti_category,loan_term_category
,0,2,1,1,245000.0,88.173,15.0,3.0,0.0,0.0,0.0,0.0,372.0,285000,2,1,1,1,1,82.0,49.0,3,10,2.0,5.0,3.0,8.0,<25,9999,No,No Co-Applicant,1,4,Medium,30-50,Long
,0,3,1,1,495000.0,134.595,15.0,3.0,0.0,0.0,0.0,0.0,372.0,375000,1,1,3,5,1,161.0,39.0,1,3,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,4,High,30-50,Long
,71,2,1,1,235000.0,96.44,6.75,1.227,15877.19,0.0,7732.19,2361.24,372.0,245000,2,1,1,1,1,72.0,Missing,2,1,2.0,2.0,3.0,3.0,<25,25-34,No,No,1,10,High,Missing,Long
,71,1,1,1,285000.0,95.0,6.375,0.159,7689.25,0.0,5500.0,3610.0,360.0,305000,1,1,3,5,1,79.0,43.0,3,10,2.0,5.0,5.0,8.0,55-64,9999,Yes,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,235000.0,87.655,6.75,1.207,19966.81,0.0,12013.31,6489.56,372.0,265000,2,1,1,1,1,63.0,Missing,1,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,Medium,Missing,Long
,71,3,31,1,215000.0,84.061,7.25,1.311,17179.97,0.0,10180.33,4945.97,372.0,255000,2,1,1,1,1,60.0,40.0,3,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,Medium,30-50,Long
,71,2,1,1,295000.0,96.5,6.75,1.301,20391.78,0.0,12140.92,5901.16,372.0,305000,2,1,1,1,1,81.0,42.0,2,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,1,31,1,135000.0,74.121,7.125,0.979,9504.74,0.0,6635.63,2757.3,372.0,185000,2,1,1,1,1,42.0,43.0,3,1,2.0,2.0,5.0,5.0,<25,35-44,No,No,1,10,Low,30-50,Long
,71,2,31,1,345000.0,87.044,7.25,1.457,21251.06,0.0,12210.99,3480.23,372.0,395000,1,1,3,5,1,86.0,Missing,3,10,2.0,5.0,3.0,8.0,25-34,9999,No,No Co-Applicant,1,10,Medium,Missing,Long
,71,2,1,1,215000.0,96.5,6.75,1.061,13851.62,0.0,5017.65,300.0,372.0,225000,2,1,1,1,1,83.0,43.0,1,1,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,High,30-50,Long
,71,3,1,1,215000.0,99.999,6.875,0.431,6701.06,0.0,4524.16,2950.16,360.0,225000,1,1,3,5,1,54.0,Missing,2,10,2.0,5.0,3.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,445000.0,88.365,7.5,1.409,17826.73,0.0,8497.13,6607.13,360.0,485000,1,1,3,5,1,148.0,Missing,2,2,2.0,2.0,5.0,5.0,35-44,25-34,No,No,1,10,Medium,Missing,Long
,71,2,1,1,195000.0,96.499,6.875,1.566,12218.43,0.0,4770.89,300.0,372.0,195000,2,1,1,1,1,59.0,38.0,3,10,2.0,5.0,3.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,31,1,195000.0,82.096,6.75,1.259,16353.75,0.0,8535.8,3825.8,372.0,225000,2,1,1,1,1,75.0,Missing,1,3,2.0,3.0,3.0,6.0,35-44,55-64,No,No,1,10,Medium,Missing,Long
,71,2,1,1,235000.0,93.214,6.75,1.23,17461.13,0.0,10086.28,4718.36,372.0,245000,2,1,1,1,1,87.0,41.0,1,3,2.0,2.0,5.0,5.0,35-44,25-34,No,No,1,10,High,30-50,Long
,71,2,32,1,135000.0,61.086,6.0,-0.057,7240.14,0.0,3263.62,1373.62,360.0,225000,1,1,3,5,1,43.0,Missing,2,10,1.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,Low,Missing,Long
,71,2,1,1,305000.0,96.499,6.75,1.241,21258.78,0.0,12644.34,6190.96,372.0,315000,2,1,1,1,1,95.0,Missing,3,2,2.0,2.0,5.0,5.0,45-54,35-44,No,No,1,10,High,Missing,Long
,71,2,31,1,255000.0,84.156,6.875,1.238,18630.99,0.0,10862.49,5167.36,372.0,305000,2,1,1,1,1,109.0,47.0,3,2,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,Medium,30-50,Long
,71,3,1,1,225000.0,100.0,6.5,0.307,11408.97,0.0,4472.12,4472.12,360.0,215000,1,1,3,5,1,76.0,44.0,2,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,205000.0,96.5,6.75,1.367,16639.77,0.0,8957.9,4068.78,372.0,205000,2,1,1,1,1,68.0,Missing,2,10,1.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,31,1,195000.0,95.64,6.75,1.266,14081.22,0.0,6705.47,1946.27,372.0,205000,2,1,1,1,1,78.0,Missing,1,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,1,1,1,175000.0,95.0,7.0,1.081,6941.11,0.0,4305.26,2415.26,360.0,185000,1,1,3,5,1,75.0,38.0,3,1,2.0,2.0,5.0,5.0,<25,<25,No,No,1,10,High,30-50,Long
,71,3,31,1,235000.0,96.432,6.75,0.209,9750.52,0.0,7293.43,1809.03,372.0,245000,1,1,3,5,1,85.0,39.0,1,1,2.0,2.0,5.0,5.0,35-44,35-44,No,No,1,10,High,30-50,Long
,71,3,1,1,285000.0,100.0,7.25,1.691,24067.53,0.0,11639.47,5648.78,372.0,275000,2,1,1,1,1,107.0,49.0,1,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,3,1,1,625000.0,100.0,6.75,0.326,28993.3,0.0,25565.8,12420.0,372.0,625000,1,1,3,5,1,223.0,48.0,3,1,2.0,2.0,3.0,5.0,35-44,35-44,No,No,1,10,High,30-50,Long
,71,2,1,1,195000.0,96.5,6.75,1.52,15086.67,0.0,7238.63,3175.17,372.0,195000,2,1,1,1,1,41.0,Missing,3,10,1.0,5.0,5.0,8.0,<25,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,3,1,1,255000.0,74.489,6.875,0.723,13757.38,0.0,8310.69,6590.69,360.0,335000,1,1,3,5,1,93.0,37.0,1,2,2.0,2.0,5.0,5.0,55-64,45-54,No,No,1,10,Low,30-50,Long
,71,2,1,1,265000.0,96.5,7.125,1.277,15745.91,0.0,5781.33,300.0,372.0,265000,2,1,1,1,1,98.0,47.0,3,3,1.0,1.0,6.0,6.0,35-44,35-44,No,No,1,10,High,30-50,Long
,71,2,1,1,145000.0,90.992,6.875,1.488,13838.75,0.0,7020.65,2956.16,372.0,155000,2,1,1,1,1,44.0,Missing,3,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,205000.0,96.5,7.0,1.338,13219.8,0.0,7094.0,5204.0,360.0,215000,2,1,1,1,1,139.0,46.0,3,3,2.0,2.0,5.0,5.0,25-34,55-64,No,No,1,10,High,30-50,Long
,71,3,1,1,185000.0,98.53,6.75,0.867,15029.54,0.0,7245.07,2565.97,372.0,185000,2,1,1,1,1,45.0,Missing,3,10,1.0,5.0,1.0,8.0,65-74,9999,Yes,No Co-Applicant,1,10,High,Missing,Long
,71,3,31,1,285000.0,57.205,7.25,1.009,14171.44,0.0,11874.79,5709.02,372.0,495000,2,1,1,1,1,205.0,42.0,2,10,2.0,5.0,5.0,8.0,55-64,9999,No,No Co-Applicant,1,10,Low,30-50,Long
,0,2,1,1,175000.0,86.672,15.0,3.0,0.0,0.0,0.0,0.0,372.0,205000,2,1,1,1,1,43.0,47.0,2,1,2.0,2.0,3.0,3.0,25-34,>74,No,Yes,2,2,Medium,30-50,Long
,71,3,1,1,205000.0,100.0,6.75,0.381,11600.56,0.0,5011.4,300.0,372.0,205000,2,1,1,1,1,65.0,43.0,2,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,3,31,1,275000.0,91.918,6.75,0.541,13858.14,0.0,11489.06,5515.08,372.0,305000,1,1,3,5,1,78.0,42.0,1,1,2.0,2.0,3.0,5.0,65-74,65-74,Yes,Yes,1,10,High,30-50,Long
,71,2,31,1,165000.0,80.825,7.25,1.353,12373.48,0.0,6091.08,3007.08,372.0,205000,2,1,1,1,1,44.0,45.0,2,10,2.0,5.0,3.0,8.0,25-34,9999,No,No Co-Applicant,1,10,Medium,30-50,Long
,71,2,1,1,175000.0,96.499,7.25,1.63,15127.96,0.0,7117.59,5227.59,360.0,175000,2,1,1,1,1,102.0,49.0,1,2,2.0,2.0,3.0,3.0,25-34,55-64,No,No,1,10,High,30-50,Long
,71,3,1,1,235000.0,99.876,6.375,-0.017,6716.53,0.0,5351.94,300.0,372.0,235000,2,1,1,1,1,57.0,49.0,2,10,2.0,5.0,5.0,8.0,55-64,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,1,1,1,235000.0,94.0,6.25,0.508,13701.85,0.0,8799.0,6909.0,360.0,245000,2,1,1,1,1,135.0,Missing,2,2,1.0,1.0,5.0,5.0,35-44,35-44,No,No,1,10,High,Missing,Long
,71,2,31,1,175000.0,90.026,6.75,0.949,10594.75,0.0,4651.76,300.0,372.0,195000,2,1,1,1,1,63.0,Missing,1,1,2.0,2.0,5.0,5.0,<25,<25,No,No,1,10,High,Missing,Long
,0,3,31,1,245000.0,100.0,15.0,3.0,0.0,0.0,0.0,0.0,372.0,215000,2,1,1,1,1,66.0,38.0,1,3,2.0,2.0,5.0,5.0,35-44,35-44,No,No,1,6,High,30-50,Long
,71,2,1,1,275000.0,96.5,6.75,1.18,16833.2,0.0,8260.46,2378.68,372.0,275000,2,1,1,1,1,55.0,49.0,3,3,2.0,2.0,5.0,5.0,65-74,65-74,Yes,Yes,1,10,High,30-50,Long
,0,1,1,1,205000.0,57.14,5.25,-0.086,3375.45,0.0,874.75,300.0,360.0,355000,1,1,3,5,1,111.0,Missing,3,9,2.0,2.0,5.0,5.0,45-54,35-44,No,No,1,10,Low,Missing,Long
,71,2,31,1,195000.0,70.823,6.75,0.854,15012.93,0.0,7173.65,2689.19,372.0,275000,2,1,1,1,1,52.0,46.0,2,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,Low,30-50,Long
,71,2,1,1,145000.0,89.593,6.375,0.581,12467.4,0.0,6894.98,2887.38,372.0,155000,2,1,1,1,1,35.0,40.0,2,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,Medium,30-50,Long
,71,2,1,1,175000.0,96.5,7.125,1.533,11980.44,0.0,4682.24,2792.24,360.0,175000,2,1,1,1,1,56.0,42.0,3,10,2.0,5.0,5.0,8.0,<25,9999,No,No Co-Applicant,1,10,High,30-50,Long
,0,1,1,1,55000.0,71.265,15.0,3.0,0.0,0.0,0.0,0.0,360.0,75000,2,1,1,1,1,12.0,44.0,1,10,2.0,5.0,5.0,8.0,<25,9999,No,No Co-Applicant,1,2,Low,30-50,Long
,71,2,1,1,225000.0,96.5,7.25,1.645,14845.24,0.0,7356.12,2209.24,372.0,225000,2,1,1,1,1,61.0,41.0,1,1,2.0,2.0,5.0,5.0,35-44,25-34,No,No,1,10,High,30-50,Long
,71,2,1,1,265000.0,96.5,6.75,1.025,16059.47,0.0,9180.5,7290.5,360.0,275000,1,1,3,5,1,104.0,44.0,3,2,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,High,30-50,Long
,71,2,31,1,365000.0,96.5,6.75,1.087,26790.9,0.0,16555.6,7285.6,372.0,375000,1,1,3,5,1,143.0,36.0,3,3,2.0,2.0,5.0,3.0,25-34,35-44,No,No,1,10,High,30-50,Long
,71,2,1,1,195000.0,93.7,6.375,0.617,11052.49,0.0,4784.3,300.0,372.0,205000,2,1,1,1,1,67.0,41.0,3,2,2.0,2.0,5.0,5.0,65-74,65-74,Yes,Yes,1,10,High,30-50,Long
,71,2,31,1,355000.0,95.356,6.75,0.847,19388.52,0.0,9490.52,2358.02,372.0,365000,2,1,1,1,1,95.0,Missing,3,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,205000.0,96.5,6.375,0.885,17015.69,0.0,8999.79,4092.9,372.0,205000,2,1,1,1,1,114.0,Missing,1,3,1.0,1.0,6.0,1.0,25-34,25-34,No,No,1,10,High,Missing,Long
,71,1,31,1,195000.0,68.837,6.75,0.593,12356.41,0.0,9027.81,4212.81,372.0,285000,2,1,1,1,1,98.0,Missing,3,1,2.0,2.0,5.0,5.0,35-44,35-44,No,No,1,10,Low,Missing,Long
,71,2,1,1,215000.0,95.0,6.75,1.066,17609.46,0.0,9439.94,4346.28,372.0,225000,2,1,1,1,1,51.0,49.0,1,1,2.0,2.0,5.0,5.0,65-74,65-74,Yes,Yes,1,10,High,30-50,Long
,71,2,1,1,195000.0,92.0,6.75,1.311,16881.37,0.0,8972.34,3994.2,372.0,215000,2,1,1,1,1,55.0,Missing,1,3,2.0,2.0,3.0,3.0,65-74,55-64,Yes,Yes,1,10,High,Missing,Long
,71,2,31,1,265000.0,96.5,6.75,1.316,22795.2,0.0,13267.18,7403.3,372.0,275000,2,1,1,1,1,116.0,48.0,1,3,2.0,2.0,3.0,3.0,45-54,>74,No,Yes,1,10,High,30-50,Long
,71,2,1,1,225000.0,96.5,6.375,0.507,13670.46,0.0,5219.25,300.0,372.0,235000,2,1,1,1,1,95.0,44.0,1,3,2.0,2.0,5.0,5.0,45-54,25-34,No,No,1,10,High,30-50,Long
,71,3,31,1,235000.0,97.872,6.75,0.631,12714.6,0.0,5387.22,300.0,372.0,235000,2,1,1,1,1,84.0,37.0,3,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,1,31,1,515000.0,79.969,6.75,0.137,19181.65,0.0,14385.0,5150.0,372.0,645000,1,1,3,5,1,206.0,49.0,2,3,2.0,2.0,5.0,5.0,45-54,45-54,No,No,1,10,Low,30-50,Long
,71,2,1,1,265000.0,96.5,6.625,0.861,17842.84,0.0,9843.24,7953.24,360.0,265000,2,1,1,1,1,64.0,48.0,2,3,2.0,2.0,5.0,5.0,25-34,65-74,No,Yes,1,10,High,30-50,Long
,71,3,1,1,245000.0,99.095,7.125,1.154,18143.13,0.0,9779.84,4225.62,372.0,235000,2,1,1,1,1,59.0,47.0,3,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,155000.0,96.5,6.75,1.289,10228.72,0.0,5285.61,3395.61,360.0,155000,2,1,1,1,1,73.0,42.0,1,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,1,1,1,185000.0,61.479,6.875,0.79,13036.64,0.0,9020.85,4268.14,372.0,305000,2,1,1,1,1,60.0,46.0,2,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,Low,30-50,Long
,71,3,31,1,405000.0,95.587,6.75,0.299,16622.67,0.0,13961.62,4921.62,372.0,425000,1,1,3,5,1,145.0,46.0,3,1,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,High,30-50,Long
,71,1,31,1,265000.0,83.12,7.125,1.256,14333.83,0.0,10071.93,5226.93,372.0,315000,2,1,1,1,1,234.0,Missing,1,3,2.0,2.0,5.0,5.0,35-44,25-34,No,No,1,10,Medium,Missing,Long
,71,2,1,1,205000.0,96.5,6.75,1.015,13908.75,0.0,6336.42,1465.08,372.0,205000,2,1,1,1,1,114.0,40.0,2,1,2.0,2.0,5.0,5.0,35-44,35-44,No,No,1,10,High,30-50,Long
,71,2,31,1,195000.0,76.114,7.25,1.888,15863.38,0.0,8501.98,3706.31,372.0,255000,2,1,1,1,1,70.0,36.0,1,1,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,Low,30-50,Long
,71,2,31,1,255000.0,96.5,6.75,1.32,18313.63,0.0,10713.4,5079.38,372.0,255000,2,1,1,1,1,213.0,42.0,1,3,2.0,2.0,5.0,5.0,65-74,65-74,Yes,Yes,1,10,High,30-50,Long
,71,3,1,1,255000.0,100.0,7.125,0.717,8693.0,0.0,6865.0,5000.0,360.0,255000,1,1,3,5,1,138.0,Missing,1,10,2.0,5.0,3.0,8.0,55-64,9999,Yes,No Co-Applicant,1,10,High,Missing,Long
,71,3,1,1,215000.0,100.0,6.75,0.596,12594.17,0.0,9351.9,4260.0,372.0,215000,2,1,1,1,1,55.0,49.0,3,10,2.0,5.0,3.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,1,31,1,165000.0,63.462,7.0,0.632,9558.0,0.0,6221.25,1856.25,372.0,265000,2,1,1,1,1,44.0,44.0,3,10,2.0,5.0,5.0,8.0,55-64,9999,No,No Co-Applicant,1,10,Low,30-50,Long
,71,2,1,1,225000.0,96.5,7.25,1.436,11964.73,0.0,4651.55,2761.55,360.0,225000,2,1,1,1,1,91.0,Missing,1,1,2.0,2.0,3.0,3.0,45-54,55-64,No,No,1,10,High,Missing,Long
,0,2,1,1,175000.0,92.767,15.0,3.0,0.0,0.0,0.0,0.0,372.0,185000,2,1,1,1,1,48.0,46.0,1,2,2.0,3.0,3.0,3.0,25-34,>74,No,Yes,1,2,High,30-50,Long
,71,3,31,1,195000.0,99.979,6.75,0.363,10988.85,0.0,8279.66,3811.28,372.0,195000,2,1,1,1,1,104.0,Missing,1,2,2.0,2.0,5.0,5.0,35-44,35-44,No,No,1,10,High,Missing,Long
,71,3,1,1,175000.0,100.0,6.75,0.52,8262.02,0.0,6275.72,2246.69,372.0,175000,2,1,1,1,1,81.0,Missing,2,10,2.0,5.0,3.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,31,1,255000.0,87.239,6.75,0.95,19236.88,0.0,11315.0,5735.45,372.0,285000,2,1,1,1,1,116.0,Missing,1,2,2.0,2.0,3.0,3.0,45-54,45-54,No,No,1,10,Medium,Missing,Long
,71,2,1,1,245000.0,96.5,6.75,0.913,13909.35,0.0,7104.18,5214.18,360.0,245000,1,1,3,5,1,81.0,Missing,3,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,3,1,1,225000.0,98.987,6.75,0.563,12338.25,0.0,9915.36,4585.92,372.0,235000,2,1,1,1,1,67.0,46.0,3,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,1,1,1,285000.0,95.0,6.75,0.754,16263.27,0.0,12623.1,5645.18,372.0,295000,1,1,3,5,1,88.0,37.0,3,3,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,High,30-50,Long
,0,2,1,1,215000.0,96.5,15.0,3.0,0.0,0.0,0.0,0.0,372.0,225000,2,1,1,1,1,94.0,Missing,4,4,2.0,2.0,3.0,5.0,35-44,45-54,No,No,1,1,High,Missing,Long
,71,2,31,1,195000.0,76.035,6.375,0.732,15314.65,0.0,8512.11,3812.16,372.0,245000,2,1,1,1,1,128.0,45.0,3,2,2.0,2.0,5.0,5.0,25-34,65-74,No,Yes,1,10,Low,30-50,Long
,71,2,1,1,235000.0,96.5,6.625,0.95,15607.54,0.0,8735.58,6845.58,360.0,245000,1,1,3,5,1,72.0,47.0,2,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,30-50,Long
,0,3,1,1,265000.0,107.708,15.0,3.0,0.0,0.0,0.0,0.0,360.0,245000,1,1,3,5,1,24.0,Missing,1,2,2.0,2.0,3.0,3.0,55-64,55-64,Yes,No,1,1,High,Missing,Long
,71,2,31,1,255000.0,79.624,7.125,1.041,13435.22,0.0,7381.96,5491.96,360.0,315000,1,1,3,5,1,75.0,48.0,3,10,2.0,5.0,3.0,8.0,35-44,9999,No,No Co-Applicant,1,10,Low,30-50,Long
,0,2,1,1,325000.0,96.5,15.0,3.0,0.0,0.0,0.0,0.0,372.0,335000,2,1,1,1,1,29.0,Missing,2,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,1,High,Missing,Long
,71,2,32,1,125000.0,37.5,6.875,1.013,8113.51,0.0,4375.96,2485.96,360.0,325000,1,1,3,5,1,49.0,Missing,2,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,Low,Missing,Long
,71,2,1,1,275000.0,96.5,7.25,1.641,19645.89,0.0,11979.45,6113.25,372.0,275000,2,1,1,1,1,83.0,40.0,2,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,30-50,Long
,0,2,31,1,325000.0,68.959,15.0,3.0,0.0,0.0,0.0,0.0,372.0,455000,2,1,1,1,1,131.0,37.0,3,2,2.0,2.0,3.0,3.0,65-74,>74,Yes,Yes,1,2,Low,30-50,Long
,71,2,1,1,195000.0,96.5,7.25,1.523,13201.59,0.0,6182.92,4292.92,360.0,195000,2,1,1,1,1,84.0,45.0,2,3,2.0,2.0,5.0,5.0,35-44,25-34,No,No,1,10,High,30-50,Long
,71,2,1,1,335000.0,96.5,7.25,1.884,22019.28,0.0,10204.98,3360.67,372.0,345000,2,1,1,1,1,260.0,49.0,1,3,2.0,2.0,5.0,5.0,45-54,45-54,No,No,1,10,High,30-50,Long
,71,2,31,1,185000.0,61.862,6.75,0.843,11963.38,0.0,4507.5,300.0,372.0,295000,2,1,1,1,1,42.0,Missing,2,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,Low,Missing,Long
,71,2,1,1,385000.0,96.5,6.75,1.027,25276.67,0.0,15703.81,7147.87,372.0,395000,1,1,3,5,1,93.0,45.0,1,10,2.0,5.0,3.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,245000.0,96.5,7.0,1.338,16703.87,0.0,7223.11,1640.69,360.0,245000,2,1,1,1,1,111.0,39.0,3,3,1.0,1.0,5.0,5.0,25-34,35-44,No,No,1,10,High,30-50,Long
,71,2,1,1,195000.0,95.441,6.875,1.39,14060.21,0.0,6751.54,1964.89,372.0,205000,2,1,1,1,1,42.0,Missing,3,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,285000.0,96.5,6.75,1.311,20456.53,0.0,11144.98,5125.78,372.0,285000,2,1,1,1,1,124.0,36.0,3,2,2.0,2.0,5.0,5.0,35-44,25-34,No,No,1,10,High,30-50,Long
,71,2,31,1,245000.0,96.5,6.75,1.249,18587.62,0.0,10557.66,4989.72,372.0,255000,2,1,1,1,1,120.0,Missing,1,1,2.0,2.0,5.0,5.0,35-44,35-44,No,No,1,10,High,Missing,Long
,71,2,1,1,395000.0,96.5,6.75,1.312,27610.6,0.0,17377.6,7809.72,372.0,395000,1,1,3,5,1,112.0,48.0,1,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,305000.0,96.5,5.5,-0.448,11856.49,0.0,4894.57,3004.57,360.0,305000,1,1,3,5,1,153.0,Missing,2,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,31,1,195000.0,68.75,6.375,0.768,15014.78,0.0,8694.86,3917.36,372.0,285000,2,1,1,1,1,54.0,Missing,2,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,Low,Missing,Long
,71,2,1,1,255000.0,96.5,6.375,0.604,16719.92,0.0,8002.77,2294.35,372.0,255000,2,1,1,1,1,83.0,41.0,1,1,2.0,2.0,5.0,5.0,<25,<25,No,No,1,10,High,30-50,Long
,71,2,31,1,225000.0,76.238,6.75,1.134,16994.57,0.0,9560.94,4415.94,372.0,285000,2,1,1,1,1,59.0,38.0,3,3,2.0,2.0,5.0,5.0,<25,<25,No,No,1,10,Low,30-50,Long
,71,3,31,1,195000.0,100.0,6.75,0.424,10453.13,0.0,8819.2,3959.54,372.0,195000,2,1,1,1,1,91.0,45.0,2,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,415000.0,96.5,7.25,1.314,19241.07,0.0,8591.37,6701.37,360.0,425000,1,1,3,5,1,87.0,Missing,1,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,3,1,1,395000.0,100.0,7.25,1.23,23692.86,0.0,7855.58,5965.58,360.0,385000,1,1,3,5,1,123.0,Missing,1,1,2.0,2.0,5.0,5.0,55-64,55-64,No,No,1,10,High,Missing,Long
,71,2,31,1,325000.0,83.721,6.75,0.893,22275.95,0.0,13142.02,6474.14,372.0,385000,2,1,1,1,1,93.0,Missing,3,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,10,Medium,Missing,Long
,71,2,1,1,125000.0,96.5,6.75,1.256,9200.19,0.0,3705.26,1815.26,360.0,125000,2,1,1,1,1,53.0,49.0,1,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,2,1,1,245000.0,96.5,6.875,1.41,17782.43,0.0,10195.72,4820.2,372.0,245000,2,1,1,1,1,80.0,Missing,1,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,Missing,Long
,0,2,1,1,65000.0,72.471,15.0,3.0,0.0,0.0,0.0,0.0,360.0,85000,2,1,1,1,1,46.0,Missing,3,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,9,Low,Missing,Long
,71,3,31,1,325000.0,87.838,6.75,0.374,18605.0,0.0,16237.5,8937.5,372.0,375000,1,1,3,5,1,124.0,Missing,2,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,Medium,Missing,Long
,71,2,1,1,225000.0,96.499,7.25,1.32,13279.27,0.0,5237.85,300.0,372.0,235000,2,1,1,1,1,75.0,Missing,2,1,2.0,2.0,5.0,5.0,35-44,35-44,No,No,1,10,High,Missing,Long
,71,2,1,1,185000.0,96.5,6.25,0.558,12596.96,0.0,7719.94,5829.94,360.0,195000,1,1,3,5,1,44.0,48.0,2,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,High,30-50,Long
,71,3,1,1,325000.0,97.022,6.75,0.264,15858.84,0.0,13291.92,6515.38,372.0,335000,2,1,1,1,1,112.0,Missing,1,2,2.0,2.0,1.0,1.0,25-34,25-34,No,No,1,10,High,Missing,Long
,71,1,31,1,445000.0,82.989,7.25,0.727,17439.05,0.0,14411.5,7871.5,372.0,545000,1,1,3,5,1,133.0,40.0,1,10,2.0,5.0,5.0,8.0,45-54,9999,No,No Co-Applicant,1,10,Medium,30-50,Long
,71,2,1,1,275000.0,96.5,6.75,1.039,21248.94,0.0,11579.88,5583.52,372.0,285000,2,1,1,1,1,62.0,Missing,2,3,2.0,2.0,5.0,5.0,35-44,25-34,No,No,1,10,High,Missing,Long
